,ID,full_name,club,age,league,height_cm,weight_kg,puntaje_global,potencia,ritmo,disparos,pases,amagues,defensa,físico
616,188955,Gustavo Bou,Club Tijuana,27,Mexican Liga MX,177.0,75.0,alto,80,76,78,69,78,30,73
630,183899,Pablo Piatti,RCD Espanyol,28,Spanish Primera División,163.0,63.0,alto,79,85,71,76,81,42,56
631,183893,Claudio Yacob,West Bromwich Albion,29,English Premier League,181.0,73.0,alto,79,43,59,66,69,78,75
650,173306,Cristian Ansaldi,Torino,30,Italian Serie A,181.0,76.0,alto,79,80,59,75,79,76,76
654,172114,Diego Valeri,Portland Timbers,31,USA Major League Soccer,178.0,75.0,alto,79,62,81,79,77,36,65
664,165501,Nicolás Pareja,Sevilla FC,33,Spanish Primera División,181.0,74.0,alto,79,38,60,70,65,79,69
666,160741,David Abraham,Eintracht Frankfurt,30,German Bundesliga,188.0,83.0,alto,79,80,56,61,52,79,77
679,142784,Pablo Zabaleta,West Ham United,32,English Premier League,178.0,74.0,alto,79,61,56,70,73,81,78
681,139062,Willy Caballero,Chelsea,35,English Premier League,186.0,80.0,alto,79,80,76,73,81,46,78
704,223061,Franco Cervi,SL Benfica,23,Portuguese Primeira Liga,166.0,62.0,alto,85,89,68,70,83,44,54
714,219576,Rodrigo Battaglia,Sporting CP,25,Portuguese Primeira Liga,187.0,79.0,alto,80,66,71,70,75,77,84
723,215353,Lucas Alario,Bayer 04 Leverkusen,24,German Bundesliga,184.0,79.0,alto,83,72,76,59,75,30,78
725,215061,Darío Benedetto,Boca Juniors,27,Argentinian Superliga,175.0,75.0,alto,79,81,79,65,74,31,72
726,215051,Lisandro López,SL Benfica,27,Portuguese Primeira Liga,188.0,82.0,alto,79,66,51,50,63,78,79
727,214977,Matías Kranevitter,Zenit St. Petersburg,24,Russian Premier League,179.0,75.0,alto,85,71,49,69,72,77,77
728,213582,Alan Ruiz,Sporting CP,23,Portuguese Primeira Liga,183.0,77.0,alto,84,62,81,80,83,34,68
739,210333,Alexander Szymanowski,CD Leganés,28,Spanish Primera División,174.0,69.0,alto,78,88,72,72,78,39,62
748,207939,Guido Pizarro,Sevilla FC,27,Spanish Primera División,186.0,71.0,alto,80,60,62,71,69,74,84
756,205633,Lucas Castro,Chievo Verona,28,Italian Serie A,180.0,80.0,alto,78,78,67,78,80,65,68
762,204819,Emiliano Sala,FC Nantes,26,French Ligue 1,187.0,75.0,alto,80,62,77,64,73,47,83
783,201095,Agustín Marchesín,Club América,29,Mexican Liga MX,188.0,85.0,alto,79,73,75,74,81,51,80
799,198140,Rogelio Funes Mori,Monterrey,26,Mexican Liga MX,184.0,81.0,alto,81,77,76,68,75,50,79
803,196432,Enzo Pérez,River Plate,31,Argentinian Superliga,178.0,77.0,alto,78,70,70,75,74,75,80
809,193601,Germán Pezzella,Fiorentina,26,Italian Serie A,186.0,81.0,alto,83,47,51,46,53,78,75
835,188268,Lautaro Acosta,Club Atlético Lanús,29,Argentinian Superliga,169.0,67.0,alto,78,93,72,70,81,33,56
872,176919,Nahuel Guzmán,Tigres U.A.N.L.,31,Mexican Liga MX,193.0,93.0,alto,78,77,76,65,80,52,78
894,200197,Nicolás Blandi,San Lorenzo de Almagro,27,Argentinian Superliga,180.0,76.0,alto,78,66,78,59,70,38,64
895,210950,Pablo De Blasis,1. FSV Mainz 05,29,German Bundesliga,166.0,65.0,alto,77,80,72,71,83,39,62
907,146963,Javier Pinola,River Plate,34,Argentinian Superliga,184.0,81.0,alto,77,70,50,66,68,75,77
922,139038,Nicolás Burdisso,Torino,36,Italian Serie A,183.0,81.0,alto,77,61,29,46,47,79,73
927,173857,Mariano Andújar,Estudiantes de La Plata,33,Argentinian Superliga,194.0,88.0,alto,77,77,76,64,78,45,79
935,215079,Pablo Pérez,Boca Juniors,31,Argentinian Superliga,175.0,76.0,alto,77,71,63,75,74,70,80
956,214584,Franco Armani,Atletico Nacional Medellin,30,Colombian Primera A,189.0,89.0,alto,77,76,73,67,79,32,78
1000,153177,Mauro Zárate,Watford,30,English Premier League,176.0,76.0,alto,77,77,79,68,85,33,65
1010,205408,Santiago Gentiletti,Genoa,32,Italian Serie A,186.0,77.0,alto,77,69,36,57,62,78,73
1014,142950,Román Martínez,Club Atlético Lanús,34,Argentinian Superliga,184.0,81.0,alto,77,65,70,76,73,59,72
1029,216692,Sebastián Torrico,San Lorenzo de Almagro,37,Argentinian Superliga,186.0,84.0,alto,77,76,72,75,80,49,78
1073,161938,Mauro Boselli,Club León,32,Mexican Liga MX,185.0,75.0,alto,77,61,76,64,69,33,75
1091,183966,Facundo Roncaglia,RC Celta de Vigo,30,Spanish Primera División,179.0,76.0,alto,77,67,53,68,64,78,72
1126,221125,Sebastián Driussi,Zenit St. Petersburg,21,Russian Premier League,179.0,82.0,alto,85,81,75,72,74,25,69
1162,173030,Óscar Trejo,Rayo Vallecano,29,Spanish Segunda División,180.0,79.0,alto,77,71,71,76,80,62,73
1170,172018,Jonatan Maidana,River Plate,31,Argentinian Superliga,185.0,86.0,alto,77,60,37,61,50,77,79
1171,199667,Ramiro Funes Mori,Everton,26,English Premier League,186.0,78.0,alto,81,68,49,61,65,76,78
1186,219391,Gonzalo Escalante,SD Eibar,24,Spanish Primera División,182.0,75.0,alto,84,67,61,69,71,77,79
1217,186650,Matías Alustiza,Club Atlas,33,Mexican Liga MX,165.0,68.0,alto,76,69,79,64,77,34,61
1221,215069,Rodrigo Rey,PAOK Thessaloniki,26,Greek Super League,190.0,80.0,alto,79,76,73,69,83,48,78
1242,138798,Germán Lux,River Plate,35,Argentinian Superliga,185.0,77.0,alto,76,74,71,78,79,31,76
1260,139064,Leonardo Ponzio,River Plate,35,Argentinian Superliga,174.0,71.0,alto,76,56,60,71,69,76,74
1264,138810,Alejandro Domínguez,Rayo Vallecano,36,Spanish Segunda División,175.0,73.0,alto,76,64,76,75,77,33,56
1275,219455,Jonathan Calleri,UD Las Palmas,23,Spanish Primera División,181.0,77.0,alto,82,74,73,61,75,39,71
1276,205632,Lucas Ocampos,Olympique de Marseille,22,French Ligue 1,187.0,84.0,alto,83,78,70,74,78,48,66
1280,215107,Héctor Villalba,Atlanta United FC,22,USA Major League Soccer,172.0,75.0,alto,80,92,76,65,80,36,61
1287,226378,Ramón Ábila,Club Atlético Huracán,27,Argentinian Superliga,180.0,88.0,alto,77,68,75,54,71,28,77
1289,226379,Marcos Díaz,Club Atlético Huracán,31,Argentinian Superliga,187.0,84.0,alto,76,72,71,62,78,38,82
1312,152916,Rubens Sambueza,Deportivo Toluca,33,Mexican Liga MX,174.0,74.0,alto,76,70,69,78,76,49,78
1313,183892,Gabriel Mercado,Sevilla FC,30,Spanish Primera División,180.0,83.0,alto,76,75,54,64,59,75,81
1351,190576,Matías Caruzzo,San Lorenzo de Almagro,32,Argentinian Superliga,185.0,80.0,alto,76,53,32,57,43,77,80
1354,165490,Mariano Izco,Crotone,34,Italian Serie A,180.0,77.0,alto,76,72,64,74,77,70,72
1361,142966,Jesús Dátolo,Banfield,33,Argentinian Superliga,177.0,72.0,alto,76,71,71,77,77,52,60
1380,216706,Franco Mussis,San Lorenzo de Almagro,25,Argentinian Superliga,174.0,75.0,alto,81,77,60,70,69,71,83
1398,215181,Gino Peruzzi,Boca Juniors,25,Argentinian Superliga,178.0,71.0,alto,79,84,50,64,70,74,74
1422,165531,Ismael Sosa,Tigres U.A.N.L.,30,Mexican Liga MX,179.0,74.0,alto,76,90,73,70,75,47,71
1428,152993,Renato Civelli,Banfield,33,Argentinian Superliga,195.0,92.0,alto,76,46,55,53,42,76,80
1431,152997,Darío Cvitanich,Banfield,33,Argentinian Superliga,174.0,72.0,alto,76,68,75,67,73,33,70
1438,214955,Emmanuel Mas,Trabzonspor,28,Turkish Süper Lig,183.0,73.0,alto,76,79,62,67,72,74,80
1456,213432,Facundo Ferreyra,Shakhtar Donetsk,26,Ukrainian Premier League,187.0,76.0,alto,79,72,76,58,72,26,68
1462,215998,Ignacio Fernández,River Plate,27,Argentinian Superliga,182.0,67.0,alto,77,71,68,76,76,54,73
1501,216796,Federico Cartabia,RC Deportivo de La Coruña,24,Spanish Primera División,169.0,65.0,alto,81,78,72,73,80,33,56
1516,219626,José Luis Gómez,Club Atlético Lanús,23,Argentinian Superliga,173.0,63.0,alto,82,92,54,63,74,70,63
1522,214766,Carlos Izquierdoz,Santos Laguna,28,Mexican Liga MX,184.0,85.0,alto,77,49,48,48,46,76,77
1526,216816,Giovanni Simeone,Fiorentina,21,Italian Serie A,180.0,81.0,alto,86,78,75,58,75,28,66
1527,179696,Emiliano Insúa,VfB Stuttgart,28,German Bundesliga,180.0,79.0,alto,76,65,64,73,73,76,79
1532,167669,Federico Higuaín,Columbus Crew SC,32,USA Major League Soccer,173.0,75.0,alto,76,66,73,75,75,46,63
1556,215042,Gastón Lezcano,Monarcas Morelia,30,Mexican Liga MX,168.0,65.0,alto,75,84,73,66,78,25,70
1566,204555,Ricardo Álvarez,Sampdoria,29,Italian Serie A,188.0,84.0,alto,75,65,71,76,77,53,71
1593,215322,Jonathan Silva,Sporting CP,23,Portuguese Primeira Liga,180.0,75.0,alto,80,81,60,68,73,71,73
1612,221219,Germán Conti,Colon de Santa Fe,22,Argentinian Superliga,193.0,80.0,alto,83,70,36,46,44,78,73
1617,186405,Franco Di Santo,FC Schalke 04,28,German Bundesliga,193.0,88.0,alto,75,72,75,64,74,33,74
1643,171828,Ignacio Scocco,River Plate,32,Argentinian Superliga,177.0,73.0,alto,75,77,78,71,78,31,68
1648,171830,Nicolás Spolli,Genoa,34,Italian Serie A,193.0,90.0,alto,75,41,39,34,45,78,75
1659,14907,Albano Bizzarri,Udinese,39,Italian Serie A,193.0,89.0,alto,75,74,76,67,72,50,79
1661,212541,Leonel Vangioni,Monterrey,30,Mexican Liga MX,178.0,68.0,alto,75,84,63,69,72,72,70
1690,226377,Gonzalo Martínez,River Plate,24,Argentinian Superliga,172.0,75.0,alto,81,84,69,68,83,27,57
1722,223066,Andrés Chávez,Panathinaikos FC,26,Greek Super League,184.0,80.0,alto,78,80,75,67,72,37,82
1740,210787,Mauro Dos Santos,CD Leganés,27,Spanish Primera División,180.0,76.0,alto,76,62,40,56,52,74,77
1763,142959,Mariano Barbosa,Villarreal CF,32,Spanish Primera División,188.0,75.0,alto,75,75,70,77,78,43,71
1765,221551,Emanuel Mammana,Zenit St. Petersburg,21,Russian Premier League,183.0,70.0,alto,86,79,42,61,68,75,72
1768,190577,Sebastián Blanco,Portland Timbers,29,USA Major League Soccer,168.0,64.0,alto,75,78,70,71,77,28,68
1781,186745,Matías Pérez García,Club Atlético Tigre,32,Argentinian Superliga,165.0,64.0,alto,75,81,64,74,78,25,61
1804,162951,Marcos Angeleri,San Lorenzo de Almagro,34,Argentinian Superliga,182.0,76.0,alto,75,65,46,56,55,74,79
1808,188042,Matías Suárez,Belgrano de Córdoba,29,Argentinian Superliga,183.0,75.0,alto,75,69,71,72,74,25,53
1866,200875,Emmanuel Gigliotti,Independiente,30,Argentinian Superliga,187.0,82.0,alto,75,57,74,60,67,32,75
1876,215985,Fernando Monetti,Club Atlético Lanús,28,Argentinian Superliga,184.0,78.0,alto,78,78,75,77,77,57,71
1901,219841,Jorge Figal,Independiente,23,Argentinian Superliga,183.0,76.0,alto,82,73,41,58,69,76,73
1902,220609,Valentin Vada,Girondins de Bordeaux,21,French Ligue 1,175.0,71.0,alto,82,65,66,76,76,63,69
1918,182731,Brian Sarmiento,Newell's Old Boys,27,Argentinian Superliga,166.0,66.0,alto,76,88,68,74,78,28,50
1949,208607,Martín Mantovani,CD Leganés,32,Spanish Primera División,185.0,80.0,alto,75,39,42,56,60,74,82
1957,215270,Lucas Zelarayán,Tigres U.A.N.L.,25,Mexican Liga MX,172.0,73.0,alto,80,77,67,74,79,43,61
1968,214763,Paolo Goltz,Boca Juniors,32,Argentinian Superliga,184.0,80.0,alto,75,62,56,63,59,74,79
1983,167666,Juan Pablo Carrizo,Monterrey,33,Mexican Liga MX,187.0,87.0,alto,75,77,74,72,76,53,73
1988,199669,Leandro González Pirez,Atlanta United FC,25,USA Major League Soccer,185.0,80.0,alto,78,76,48,63,68,74,79
1994,216055,Federico Carrizo,Rosario Central,26,Argentinian Superliga,170.0,68.0,alto,76,89,65,72,76,36,62
2001,158969,Leonardo Pisculichi,Argentinos Juniors,33,Argentinian Superliga,175.0,65.0,alto,75,70,71,78,76,33,59
2007,224254,Cristian Pavón,Boca Juniors,21,Argentinian Superliga,174.0,76.0,alto,84,88,75,70,78,27,56
2013,191488,Lucas Orbán,Racing Club de Avellaneda,28,Argentinian Superliga,184.0,76.0,alto,74,66,53,65,61,76,74
2014,198145,Sergio Araujo,AEK Athens,25,Greek Super League,180.0,74.0,alto,78,74,71,66,77,27,58
2033,215050,Diego Braghieri,Club Atlético Lanús,30,Argentinian Superliga,186.0,79.0,alto,74,66,49,47,55,73,75
2060,215321,Jonathan Schunke,Estudiantes de La Plata,30,Argentinian Superliga,193.0,85.0,alto,74,33,29,51,43,75,77
2081,215071,Milton Casco,River Plate,29,Argentinian Superliga,170.0,69.0,alto,74,84,62,65,72,70,76
2086,215330,Joaquín Correa,Sevilla FC,22,Spanish Primera División,188.0,77.0,alto,83,75,70,73,76,33,61
2093,215334,Guido Carrillo,AS Monaco,26,French Ligue 1,191.0,87.0,alto,75,63,75,53,70,35,77
2108,172077,José María Basanta,Monterrey,33,Mexican Liga MX,188.0,78.0,alto,74,62,49,54,55,74,71
2127,138806,Maximiliano López,Udinese,33,Italian Serie A,190.0,88.0,alto,74,43,74,62,70,24,68
2144,205630,Luciano Abecasis,Godoy Cruz,27,Argentinian Superliga,175.0,73.0,alto,75,85,41,68,73,68,67
2147,207679,Facundo Pereyra,Necaxa,29,Mexican Liga MX,172.0,70.0,alto,74,79,71,70,76,32,56
2154,214594,Matías Laba,Vancouver Whitecaps FC,25,USA Major League Soccer,175.0,70.0,alto,78,73,58,66,69,71,73
2158,211267,Ricardo Centurión,Genoa,24,Italian Serie A,174.0,65.0,alto,79,87,64,67,81,41,59
2163,172100,Gabriel Peñalba,Cruz Azul,32,Mexican Liga MX,194.0,91.0,alto,74,46,68,72,72,68,80
2190,213581,Martín Nervo,Club Atlético Huracán,26,Argentinian Superliga,183.0,82.0,alto,78,66,45,56,56,72,78
2214,153175,Juan Martínez,Independiente,31,Argentinian Superliga,177.0,72.0,alto,74,77,72,67,79,37,61
2267,217196,José Luis Palomino,Atalanta,27,Italian Serie A,188.0,87.0,alto,76,49,32,59,62,76,75
2281,217201,Enrique Triverio,Racing Club de Avellaneda,28,Argentinian Superliga,184.0,78.0,alto,74,72,74,52,71,31,70
2286,162932,Pablo Barrientos,Deportivo Toluca,32,Mexican Liga MX,176.0,69.0,alto,74,63,67,77,77,34,58
2291,192373,Milton Caraglio,Club Atlas,28,Mexican Liga MX,187.0,86.0,alto,74,57,74,61,69,27,76
2296,188791,Alberto Costa,UD Almería,32,Spanish Segunda División,176.0,75.0,alto,74,63,69,75,73,68,64
2328,219525,Ezequiel Cerutti,San Lorenzo de Almagro,25,Argentinian Superliga,179.0,75.0,alto,77,90,65,68,76,26,67
2332,212616,Rodrigo Javier De Paul,Udinese,23,Italian Serie A,178.0,70.0,alto,82,69,70,74,79,39,63
2362,165787,Jorge Ortiz,Belgrano de Córdoba,33,Argentinian Superliga,180.0,74.0,alto,74,72,64,72,71,68,70
2364,165788,Leonardo Ulloa,Leicester City,30,English Premier League,188.0,89.0,alto,74,49,72,62,69,42,79
2372,215199,Rubén Botta,San Lorenzo de Almagro,27,Argentinian Superliga,177.0,71.0,alto,74,80,63,74,78,30,63
2379,183969,Juan Forlín,Real Oviedo,29,Spanish Segunda División,180.0,74.0,alto,74,64,40,61,58,75,73
2398,215212,Guillermo Sara,Boca Juniors,29,Argentinian Superliga,183.0,84.0,alto,74,74,70,75,77,43,69
2412,226226,Giovani Lo Celso,Paris Saint-Germain,21,French Ligue 1,177.0,69.0,alto,86,75,62,76,77,40,63
2422,206005,Denis Stracqualursi,Club Atlético Tigre,29,Argentinian Superliga,190.0,86.0,alto,74,64,76,50,62,40,73
2437,142781,Leandro Romagnoli,San Lorenzo de Almagro,36,Argentinian Superliga,172.0,68.0,alto,74,56,68,76,75,35,57
2470,198347,Franco Jara,Pachuca,28,Mexican Liga MX,181.0,76.0,alto,74,78,74,67,75,33,67
2476,200653,Guillermo Burdisso,Club León,28,Mexican Liga MX,189.0,85.0,alto,74,45,41,51,49,74,80
2478,214989,Martín Benítez,Independiente,23,Argentinian Superliga,173.0,75.0,alto,81,82,70,66,78,33,62
2485,142800,Maximiliano Velázquez,Club Atlético Lanús,36,Argentinian Superliga,176.0,72.0,alto,74,63,68,77,71,74,72
2501,222429,Andrés Cubas,Defensa y Justicia,21,Argentinian Superliga,169.0,60.0,alto,84,70,46,66,70,73,56
2511,189153,Mauro Díaz,FC Dallas,26,USA Major League Soccer,170.0,62.0,alto,75,72,68,70,75,42,57
2526,143598,Luciano Pocrnjic,Newell's Old Boys,35,Argentinian Superliga,190.0,86.0,alto,74,74,72,64,73,29,74
2539,214770,Diego González,Racing Club de Avellaneda,29,Argentinian Superliga,172.0,73.0,alto,74,68,66,68,71,73,81
2601,215049,Damián Pérez,Club Tijuana,28,Mexican Liga MX,168.0,66.0,alto,73,81,57,55,73,70,63
2608,167435,Oscar Ustari,Club Atlas,30,Mexican Liga MX,184.0,82.0,alto,73,75,70,79,75,59,69
2623,223247,Nelson Acevedo,Unión de Santa Fe,28,Argentinian Superliga,179.0,77.0,alto,73,70,53,63,68,71,79
2628,223248,Juan Martín Lucero,Club Tijuana,25,Mexican Liga MX,179.0,72.0,alto,75,81,69,60,72,27,64
2631,204050,Santiago Vergini,Boca Juniors,28,Argentinian Superliga,191.0,83.0,alto,74,42,38,63,64,75,77
2648,215064,Julio Furch,Santos Laguna,27,Mexican Liga MX,187.0,88.0,alto,73,57,74,59,65,34,78
2676,215331,Leonardo Jara,Boca Juniors,26,Argentinian Superliga,185.0,80.0,alto,76,76,54,67,73,69,78
2677,157219,Gastón Fernández,Estudiantes de La Plata,33,Argentinian Superliga,170.0,68.0,alto,73,73,71,69,73,35,55
2685,188196,Ricardo Noir,Racing Club de Avellaneda,30,Argentinian Superliga,174.0,69.0,alto,73,89,70,68,72,46,70
2702,215083,Maximiliano Urruti,FC Dallas,26,USA Major League Soccer,184.0,74.0,alto,74,78,75,56,72,53,71
2706,189228,Maximiliano Caire,Club Atlético Tigre,28,Argentinian Superliga,177.0,70.0,alto,73,83,38,59,70,72,73
2716,215089,Enzo Kalinski,Club Tijuana,30,Mexican Liga MX,183.0,73.0,alto,73,69,51,71,71,69,79
2718,184626,Nicolás Sánchez,Monterrey,31,Mexican Liga MX,187.0,82.0,alto,73,51,31,55,56,73,77
2725,232244,Santiago Ascacibar,VfB Stuttgart,20,German Bundesliga,168.0,70.0,alto,86,73,47,63,65,74,71
2756,211265,Ariel Rojas,River Plate,31,Argentinian Superliga,175.0,82.0,alto,73,67,70,73,72,64,70
2764,211269,Guillermo Fernández,Godoy Cruz,25,Argentinian Superliga,178.0,75.0,alto,76,76,67,72,76,61,66
2773,186695,Ezequiel Muñoz,CD Leganés,26,Spanish Primera División,185.0,82.0,alto,76,53,29,43,45,74,76
2799,172113,Matías Fritzler,Colon de Santa Fe,30,Argentinian Superliga,179.0,73.0,alto,73,49,49,61,61,75,69
2800,152914,Daniel Montenegro,Club Atlético Huracán,38,Argentinian Superliga,173.0,71.0,alto,73,45,72,75,72,32,56
2806,200278,Santiago García,Deportivo Toluca,28,Mexican Liga MX,191.0,80.0,alto,73,63,53,64,67,73,80
2832,142942,Javier Gandolfi,Talleres de Cordoba,36,Argentinian Superliga,178.0,78.0,alto,73,58,43,58,52,73,77
2838,203872,Gabriel Hauche,Deportivo Toluca,30,Mexican Liga MX,167.0,73.0,alto,73,89,70,70,78,37,69
2869,48745,Fabricio Coloccini,San Lorenzo de Almagro,35,Argentinian Superliga,184.0,83.0,alto,73,57,53,59,60,73,70
2892,226419,Fabián Sambueza,Asociacion Deportivo Cali,28,Colombian Primera A,170.0,65.0,alto,73,80,65,75,73,34,49
2893,192371,Fabián Rinaudo,Gimnasia y Esgrima La Plata,30,Argentinian Superliga,175.0,78.0,alto,73,72,61,66,72,71,75
2897,229749,Alexander Barboza,River Plate,22,Argentinian Superliga,192.0,88.0,alto,83,52,30,48,53,76,69
2910,215162,Alejandro Donatti,Club Tijuana,30,Mexican Liga MX,191.0,77.0,alto,73,54,57,51,54,73,75
2913,225659,Guido Rodríguez,Club América,22,Mexican Liga MX,185.0,80.0,alto,77,60,49,65,62,71,76
2917,216700,Maximiliano Meza,Independiente,25,Argentinian Superliga,180.0,69.0,alto,76,79,69,71,76,34,69
2933,191104,Juan Mercier,San Lorenzo de Almagro,37,Argentinian Superliga,181.0,78.0,alto,73,60,61,71,69,72,67
2949,215177,Francisco Cerro,Rayo Vallecano,29,Spanish Segunda División,178.0,71.0,alto,73,73,56,70,69,71,80
2956,213132,Mauricio Sperduti,Banfield,31,Argentinian Superliga,180.0,73.0,alto,73,76,67,67,73,32,62
2959,191628,Leandro Chichizola,UD Las Palmas,27,Spanish Primera División,186.0,82.0,alto,75,73,73,62,75,52,72
3011,139169,Walter Erviti,Independiente,37,Argentinian Superliga,168.0,64.0,alto,73,53,68,76,71,55,52
3013,215202,Lucas Janson,Club Atlético Tigre,22,Argentinian Superliga,169.0,67.0,alto,81,74,70,64,78,29,55
3023,190629,Daniel Villalva,Tiburones Rojos de Veracruz,24,Mexican Liga MX,158.0,61.0,alto,76,89,70,66,79,31,45
3066,208054,Leandro Fernández,Independiente,26,Argentinian Superliga,179.0,75.0,alto,76,81,73,64,75,27,62
3078,213433,Fernando Tobio,Rosario Central,27,Argentinian Superliga,185.0,85.0,alto,74,66,30,52,47,72,78
3086,214973,Lucas Villafañez,Panathinaikos FC,25,Greek Super League,169.0,65.0,alto,75,78,67,73,75,35,50
3141,216019,Damián Musto,Club Tijuana,30,Mexican Liga MX,182.0,82.0,alto,73,53,49,65,63,70,77
3148,215254,Luciano Lollo,River Plate,30,Argentinian Superliga,184.0,85.0,alto,73,37,31,40,46,74,74
3160,199387,Pablo Chavarría,Stade de Reims,29,French Ligue 2,185.0,74.0,alto,73,75,70,69,73,35,74
3165,232670,Fernando Zampedri,Rosario Central,29,Argentinian Superliga,185.0,83.0,alto,73,72,73,54,68,23,74
3179,153060,Juan Insaurralde,Boca Juniors,32,Argentinian Superliga,187.0,87.0,alto,73,49,39,58,49,72,75
3185,142822,Jonás Gutiérrez,Independiente,33,Argentinian Superliga,183.0,73.0,alto,73,62,68,72,73,68,69
3187,193510,Diego Novaretti,Club León,32,Mexican Liga MX,194.0,86.0,alto,73,44,26,50,40,74,79
3208,167665,Nicolás Domingo,Independiente,32,Argentinian Superliga,173.0,72.0,alto,73,64,57,66,69,69,67
3209,198386,Sebastián Dubarbier,Estudiantes de La Plata,31,Argentinian Superliga,178.0,77.0,alto,73,79,61,68,73,68,78
3225,216054,Nery Domínguez,Independiente,27,Argentinian Superliga,184.0,80.0,alto,76,58,64,69,67,70,74
3247,187644,Cristian Maidana,Águilas Doradas,30,Colombian Primera A,181.0,74.0,alto,73,68,64,74,73,32,69
3248,214781,Silvio Romero,Club América,28,Mexican Liga MX,175.0,86.0,alto,73,76,72,65,71,38,68
